"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 27 19:58:07 GMT 2025","Tue May 27 19:58:10 GMT 2025","2768","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue May 27 19:58:04 GMT 2025","Tue May 27 19:58:05 GMT 2025","1396","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue May 27 19:58:00 GMT 2025","Tue May 27 19:58:02 GMT 2025","1575","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue May 27 19:58:02 GMT 2025","Tue May 27 19:58:03 GMT 2025","1577","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue May 27 19:58:05 GMT 2025","Tue May 27 19:58:07 GMT 2025","2357","LMS system","Courses","Courses","","","Create course",""
"passed","Tue May 27 19:57:58 GMT 2025","Tue May 27 19:58:00 GMT 2025","1355","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue May 27 19:57:56 GMT 2025","Tue May 27 19:57:58 GMT 2025","1803","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue May 27 19:57:58 GMT 2025","Tue May 27 19:58:01 GMT 2025","2866","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue May 27 19:57:56 GMT 2025","Tue May 27 19:57:58 GMT 2025","1759","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue May 27 19:58:09 GMT 2025","Tue May 27 19:58:11 GMT 2025","1673","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
